size,depth,technology,zygosity,FN,FP,TN,TP,precision,recall,F1,Accuracy
small,20,linkedread,heterozygous,14,0,0,60,1,0.810810810810811,0.895522388059701,0.810810810810811
small,20,linkedread,homozygous,3,0,57,66,1,0.956521739130435,0.977777777777778,0.976190476190476
small,20,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
small,20,linkedread (pooled),homozygous,3,0,0,17,1,0.85,0.918918918918919,0.85
small,20,ontlong,heterozygous,0,0,0,74,1,1,1,1
small,20,ontlong,homozygous,0,1,57,69,0.985714285714286,1,0.992805755395683,0.992125984251969
small,20,ontshort,heterozygous,4,0,0,70,1,0.945945945945946,0.972222222222222,0.945945945945946
small,20,ontshort,homozygous,2,0,57,67,1,0.971014492753623,0.985294117647059,0.984126984126984
small,20,pacbio,heterozygous,0,0,0,74,1,1,1,1
small,20,pacbio,homozygous,0,1,57,69,0.985714285714286,1,0.992805755395683,0.992125984251969
small,20,shortread,heterozygous,11,0,0,63,1,0.851351351351351,0.91970802919708,0.851351351351351
small,20,shortread,homozygous,2,0,57,67,1,0.971014492753623,0.985294117647059,0.984126984126984
xl,0.5,linkedread,heterozygous,16,0,0,0,0,0,0,0
xl,0.5,linkedread,homozygous,14,0,9,1,1,0.0666666666666667,0.125,0.416666666666667
xl,0.5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
xl,0.5,linkedread (pooled),homozygous,2,0,0,2,1,0.5,0.666666666666667,0.5
xl,0.5,ontlong,heterozygous,15,0,0,1,1,0.0625,0.117647058823529,0.0625
xl,0.5,ontlong,homozygous,10,0,9,5,1,0.333333333333333,0.5,0.583333333333333
xl,0.5,ontshort,heterozygous,15,0,0,1,1,0.0625,0.117647058823529,0.0625
xl,0.5,ontshort,homozygous,12,0,9,3,1,0.2,0.333333333333333,0.5
xl,0.5,pacbio,heterozygous,15,0,0,1,1,0.0625,0.117647058823529,0.0625
xl,0.5,pacbio,homozygous,14,0,9,1,1,0.0666666666666667,0.125,0.416666666666667
xl,0.5,shortread,heterozygous,7,0,0,9,1,0.5625,0.72,0.5625
