technology,depth,zygosity,FN,FP,TN,TP,precision,recall,F1,Accuracy,FPR
ontlong,2,heterozygous,69,1,0,112,0.991150442477876,0.61878453038674,0.761904761904762,0.615384615384615,1
ontlong,2,homozygous,4,1,130,165,0.993975903614458,0.976331360946746,0.985074626865672,0.983333333333333,0.00763358778625954
ontlong,5,heterozygous,10,1,0,171,0.994186046511628,0.94475138121547,0.968838526912181,0.93956043956044,1
ontlong,5,homozygous,0,2,130,169,0.988304093567251,1,0.994117647058823,0.993355481727575,0.0151515151515152
ontlong,10,heterozygous,3,2,0,178,0.988888888888889,0.983425414364641,0.986149584487535,0.972677595628415,1
ontlong,10,homozygous,0,2,130,169,0.988304093567251,1,0.994117647058823,0.993355481727575,0.0151515151515152
ontlong,20,heterozygous,2,2,0,179,0.988950276243094,0.988950276243094,0.988950276243094,0.978142076502732,1
ontlong,20,homozygous,0,1,130,169,0.994117647058824,1,0.997050147492625,0.996666666666667,0.00763358778625954
ontshort,0.5,heterozygous,166,0,0,15,1,0.0828729281767956,0.153061224489796,0.0828729281767956,0
ontshort,0.5,homozygous,143,0,130,26,1,0.153846153846154,0.266666666666667,0.521739130434783,0
ontshort,2,heterozygous,65,0,0,116,1,0.640883977900553,0.781144781144781,0.640883977900553,0
ontshort,2,homozygous,20,0,130,149,1,0.881656804733728,0.937106918238994,0.933110367892977,0
ontshort,5,heterozygous,11,0,0,170,1,0.939226519337017,0.968660968660969,0.939226519337017,0
ontshort,5,homozygous,5,0,130,164,1,0.970414201183432,0.984984984984985,0.983277591973244,0
ontshort,10,heterozygous,5,0,0,176,1,0.972375690607735,0.985994397759104,0.972375690607735,0
ontshort,10,homozygous,2,0,130,167,1,0.988165680473373,0.994047619047619,0.993311036789298,0
ontshort,20,heterozygous,7,0,0,174,1,0.961325966850829,0.980281690140845,0.961325966850829,0
ontshort,20,homozygous,2,0,130,167,1,0.988165680473373,0.994047619047619,0.993311036789298,0
pacbio,0.5,heterozygous,166,0,0,15,1,0.0828729281767956,0.153061224489796,0.0828729281767956,0
pacbio,0.5,homozygous,143,0,130,26,1,0.153846153846154,0.266666666666667,0.521739130434783,0
pacbio,2,heterozygous,66,0,0,115,1,0.635359116022099,0.777027027027027,0.635359116022099,0
pacbio,2,homozygous,6,0,130,163,1,0.964497041420118,0.981927710843373,0.979933110367893,0
pacbio,5,heterozygous,3,0,0,178,1,0.983425414364641,0.991643454038997,0.983425414364641,0
pacbio,5,homozygous,0,1,130,169,0.994117647058824,1,0.997050147492625,0.996666666666667,0.00763358778625954
pacbio,10,heterozygous,1,0,0,180,1,0.994475138121547,0.997229916897507,0.994475138121547,0
pacbio,10,homozygous,0,2,130,169,0.988304093567251,1,0.994117647058823,0.993355481727575,0.0151515151515152
pacbio,20,heterozygous,0,0,0,181,1,1,1,1,0
pacbio,20,homozygous,0,1,130,169,0.994117647058824,1,0.997050147492625,0.996666666666667,0.00763358778625954
shortread,0.5,heterozygous,125,12,0,56,0.823529411764706,0.30939226519337,0.449799196787149,0.290155440414508,1
